client_id,offer_id,response,transaction_date,quantity,cross_sell_count
41,706,accepted,2022-07-24,4,0
27,389,rejected,2018-08-25,4,0
47,628,rejected,2017-02-05,10,0
71,270,accepted,2020-04-14,5,3
79,352,rejected,2020-08-04,1,0
55,216,rejected,2023-06-08,9,0
48,374,rejected,2018-02-19,4,0
58,185,rejected,2021-06-16,9,0
88,235,rejected,2023-01-31,6,0
35,824,accepted,2019-11-06,1,3
49,201,accepted,2023-04-14,3,2
20,485,rejected,2016-12-24,2,0
54,512,accepted,2022-01-27,9,3
67,547,rejected,2023-10-22,1,0
63,308,accepted,2021-05-14,9,0
7,408,accepted,2016-10-31,8,2
8,221,rejected,2020-05-05,1,0
81,99,rejected,2018-10-02,8,0
34,370,rejected,2021-04-02,10,0
33,353,accepted,2016-05-11,3,2
45,889,rejected,2021-10-16,7,0
26,591,rejected,2022-04-12,1,0
69,179,rejected,2018-03-11,1,0
46,333,rejected,2020-06-19,10,0
100,755,rejected,2015-11-18,5,0
49,629,accepted,2022-01-31,5,5
19,890,accepted,2018-10-13,6,1
54,647,rejected,2019-07-16,6,0
10,82,accepted,2017-07-23,5,4
41,325,rejected,2022-12-19,3,0
35,620,rejected,2018-01-16,6,0
57,800,rejected,2019-01-27,8,0
96,602,rejected,2020-01-19,9,0
53,172,accepted,2015-04-05,1,2
17,746,accepted,2017-10-27,3,2
96,718,rejected,2017-05-12,8,0
22,407,accepted,2015-09-19,1,4
61,562,accepted,2023-08-24,3,1
51,537,rejected,2015-12-07,8,0
14,269,rejected,2015-12-12,3,0
84,954,rejected,2018-06-21,7,0
30,254,rejected,2019-12-21,1,0
81,130,accepted,2016-11-29,6,2
4,36,rejected,2018-08-25,8,0
61,479,rejected,2021-01-23,6,0
35,562,rejected,2022-10-28,2,0
70,182,rejected,2020-02-14,6,0
81,767,rejected,2021-04-29,7,0
56,537,rejected,2020-12-26,5,0
40,931,rejected,2021-01-19,3,0
30,825,accepted,2018-06-15,4,3
47,423,accepted,2018-05-28,6,1
2,1,rejected,2023-07-03,1,0
18,353,accepted,2020-12-31,4,1
2,705,rejected,2023-06-22,4,0
62,307,accepted,2019-10-30,10,0
38,612,accepted,2015-01-30,9,3
71,383,accepted,2021-04-15,7,3
56,405,accepted,2023-01-07,3,1
95,662,rejected,2019-03-30,3,0
29,270,accepted,2022-01-05,8,2
31,530,rejected,2021-11-16,1,0
89,702,accepted,2022-04-10,10,1
96,545,rejected,2019-08-19,8,0
25,874,accepted,2016-07-13,1,3
38,114,rejected,2021-12-05,8,0
58,279,rejected,2020-07-08,8,0
25,329,accepted,2015-07-23,2,3
69,23,accepted,2016-02-23,6,3
37,276,accepted,2019-12-01,9,3
94,9,accepted,2016-09-09,8,5
2,506,accepted,2019-09-18,9,1
40,805,rejected,2019-03-02,3,0
60,714,rejected,2018-09-14,10,0
11,864,rejected,2016-08-21,8,0
8,273,rejected,2015-10-20,6,0
70,482,accepted,2017-10-21,10,0
49,849,accepted,2023-08-13,10,3
92,255,rejected,2019-12-20,8,0
32,756,rejected,2017-03-26,10,0
59,753,rejected,2020-11-04,3,0
86,214,rejected,2022-08-23,3,0
40,959,rejected,2022-01-21,8,0
94,44,rejected,2021-03-01,5,0
67,126,accepted,2022-02-28,3,1
39,204,rejected,2015-08-02,1,0
86,224,rejected,2017-08-24,3,0
82,445,rejected,2016-11-16,9,0
36,599,accepted,2023-11-07,5,3
32,10,rejected,2021-07-08,10,0
89,487,rejected,2016-09-26,2,0
48,790,accepted,2016-10-07,7,1
64,94,rejected,2018-10-18,4,0
98,641,accepted,2018-12-27,7,3
83,158,rejected,2023-11-16,7,0
14,129,rejected,2018-07-21,7,0
72,808,rejected,2018-11-23,1,0
57,751,accepted,2022-09-24,6,0
49,367,rejected,2017-10-23,2,0
6,497,rejected,2021-04-08,3,0
38,556,rejected,2017-02-16,10,0
73,192,rejected,2018-08-18,5,0
94,480,accepted,2021-09-18,9,3
71,165,accepted,2016-09-26,1,3
58,303,rejected,2021-01-27,6,0
47,465,accepted,2022-02-26,5,5
65,389,rejected,2015-03-18,1,0
80,878,rejected,2021-12-15,4,0
31,329,rejected,2022-05-20,6,0
69,839,rejected,2020-11-16,10,0
88,510,rejected,2016-09-23,10,0
79,290,rejected,2022-03-10,4,0
42,114,accepted,2022-05-22,9,4
9,45,rejected,2016-06-15,8,0
23,895,accepted,2016-03-14,9,1
63,197,accepted,2021-05-27,5,5
83,857,rejected,2020-06-29,1,0
68,639,rejected,2017-11-14,7,0
7,376,accepted,2023-01-19,4,2
10,14,rejected,2017-05-04,2,0
84,504,rejected,2015-11-24,5,0
60,821,rejected,2019-01-18,3,0
72,762,rejected,2019-08-31,6,0
48,814,rejected,2021-12-01,8,0
35,542,accepted,2015-10-16,7,2
39,80,rejected,2020-10-28,8,0
13,104,rejected,2020-12-17,2,0
50,195,accepted,2022-05-14,10,0
32,584,rejected,2017-01-02,4,0
72,768,rejected,2023-05-15,1,0
14,785,rejected,2019-01-06,8,0
87,470,rejected,2019-10-16,7,0
14,171,rejected,2021-03-02,5,0
52,517,rejected,2016-10-09,10,0
69,615,rejected,2018-12-14,5,0
41,564,rejected,2018-08-22,7,0
48,423,rejected,2019-10-30,5,0
93,332,rejected,2021-04-25,8,0
70,220,rejected,2021-03-03,6,0
96,261,rejected,2020-01-28,5,0
58,983,rejected,2023-02-22,9,0
5,292,rejected,2020-10-21,2,0
18,912,rejected,2018-05-15,1,0
29,220,rejected,2015-03-30,8,0
99,842,rejected,2018-02-04,3,0
71,524,rejected,2021-05-30,7,0
20,97,accepted,2018-12-27,10,4
20,142,accepted,2021-07-12,8,4
32,239,accepted,2018-05-15,6,3
12,585,rejected,2017-06-09,10,0
94,80,rejected,2023-11-22,9,0
62,178,rejected,2022-09-25,7,0
90,591,rejected,2016-01-26,10,0
77,658,rejected,2023-03-13,5,0
74,391,accepted,2015-08-18,8,1
99,343,rejected,2019-11-14,7,0
54,953,rejected,2023-08-22,4,0
30,766,rejected,2021-10-03,9,0
2,650,rejected,2019-04-16,1,0
7,313,rejected,2018-07-31,7,0
70,579,accepted,2020-08-19,6,4
90,227,accepted,2022-07-22,1,0
94,403,rejected,2023-06-11,9,0
77,590,rejected,2017-06-28,10,0
56,297,rejected,2016-08-29,6,0
17,345,accepted,2021-05-29,10,4
96,51,rejected,2017-12-11,1,0
